"Reference Families",Services,clientName,urlWebSite,WebSiteType,createdDate,youtube,taches_bd,taches,main_page,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured",ID,Title,Content,Excerpt,"Post Type",Permalink,Date
"Site web","Site Web",http://baitik.com/wp-content/uploads/2017/11/logo_footer.png,www.baitik.com,"Site web sur mesure",2019,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/baitik-min.jpg,baitik-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/baitik-min.jpg,926,baitik-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/baitik-min.jpg,961,"Création d'un site web pour :Baitik","<p class=""title_project""><strong>Création d'un site web sur mesure</strong> pour la plateforme BAITIK</p>
Baitik est une plateforme intelligente et interactive pour les Architectes, Architectes d’intérieur, promoteurs, entrepreneurs, entreprises, amoureux de la décoration...","Création d'un site web sur mesure pour la plateforme BAITIK. Baitik est une plateforme intelligente et interactive pour les Architectes, promoteurs et les amoureux de la décoration.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-sur-mesure-pour-baitik/,2019-08-19
"Site web","Site Web",https://sodet.com.tn/wp-content/themes/sodet/assets/img/sodet/logo_sodet.gif,www.sodet.com.tn,"Site web dynamique",2017,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Sodet-min.jpg,Sodet-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/Sodet-min.jpg,1479,Sodet-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Sodet-min.jpg,962,"Création d'un site web pour : SODET","<p class=""title_project""><strong>Création d'un site web dynamique</strong> pour la société SODET</p>
La société de détergents de Tunisie « SODET », créée en 1999 et entrée en production en novembre 2001, est devenue au fil des années l’un des leaders en Tunisie dans la fabrication et la vente de produits détergents et d’entretien de la maison.","Création d'un site web dynamique pour la société SODET. SODET est devenue au fil des années l’un des leaders en Tunisie dans la fabrication et la vente de produits détergents et d’entretien de la maison.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-dynamique-pour-sodet/,2019-08-19
"Site web","Site Web",http://cisconfection.com/wp-content/themes/cis/img/logo.png,www.cisconfection.com,"Site web sur mesure",2016,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/cis-min.jpg,cis-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/cis-min.jpg,931,cis-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/cis-min.jpg,963,"Création d'un site web pour : CIS Confection","<p class=""title_project""><strong>Création d'un site web vitrine</strong> pour la société CIS Confection</p>
CIS Confection est une société spécialisée dans la confection de lingerie et de maillot de bain en Tunisie. Nous opèrons dans le domaine de la sous-traitance, de la co-traitance et des produits finis. A travers ses 4 sites (2 à Sfax - 2 à El Amra), et ses 900 opérateurs, CIS Dispose d'une capacité de production de 20 000 Pièces/jour.L'écoute du client, le respect des délais de livraison et la conformité des exigences qualitatives sont un atout majeur qui ont contribué à la progression de la CIS, et lui a permis de gagner la confiance de diverses renommées internationales.","Création d'un site web vitrine pour la société CIS Confection. CIS Confection est une société spécialisée dans la confection de lingerie et de maillot de bain en Tunisie.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-vitrine-pour-cis-confection/,2019-08-19
"Site web","Site Web",https://businessoftware.com.tn/wp-content/themes/business/images/logo/logo.png,www.businessoftware.com.tn,"Site web vitrine",2019,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/busines-software-min.jpg,busines-software-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/busines-software-min.jpg,1476,busines-software-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/busines-software-min.jpg,964,"Création d'un site web pour :Business Software","<p class=""title_project""><strong>Création d'un site web vitrine</strong> pour la société BUSINESS SOFTWARE</p>
BUSINESS SOFTWARE est une société spécialisée dans la création et le développement des outils et solutions de management pour optimiser le contrôle, le suivi et la prospection instantanée du processus.","Création d'un site web vitrine pour la société Business Software. Business Software est une société spécialisée dans la création et le développement des outils et solutions de management.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-vitrine-pour-business-software/,2019-08-19
"Site web","Site Web",https://goldencars.com.tn/wp-content/themes/goldencar/images/logo-golden-cars.png,www.goldencars.com.tn,"Site web sur mesure",2019,,"<div class=""row"">
	<div class=""col-md-12"">
		<h3 class=""titre_single_"">
			Les taches <span>effectuées</span>
		</h3>
		<div class=""col-md-4"">
			<ul class=""list-prestation"">
                <li><i class=""fa fa-check-circle"" aria-hidden=""true""></i> Conseil et stratégie digitale</li>
                <li><i class=""fa fa-check-circle"" aria-hidden=""true""></i> Conception graphique et ergonomique</li>
                <li><i class=""fa fa-check-circle"" aria-hidden=""true""></i> Référencement (SEO)</li>
            </ul>
		</div>
		<div class=""col-md-4"">
			<ul class=""list-prestation"">
                <li><i class=""fa fa-check-circle"" aria-hidden=""true""></i> Développement spécifique</li>
                <li><i class=""fa fa-check-circle"" aria-hidden=""true""></i> Intégration E-catalogue</li>
            </ul>
		</div>
		<div class=""col-md-4"">
			<ul class=""list-prestation"">
                <li><i class=""fa fa-check-circle"" aria-hidden=""true""></i> Full responsive design</li>
                <li><i class=""fa fa-check-circle"" aria-hidden=""true""></i> Intégration CMS</li>
            </ul>
		</div>
	</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/goldencar-min.jpg,goldencar-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/goldencar-min.jpg,935,goldencar-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/goldencar-min.jpg,965,"Création d'un site web pour: Golden Cars","<p class=""title_project""><strong>Création d'un site web dynamique</strong> pour GOLDEN CARS</p>
Le concessionnaire automobile de luxe GOLDEN CARS, implanté à Tunis, est spécialisé dans la vente de véhicules haut de gamme.","Création d'un site web dynamique pour l'agence automobile GOLDEN CARS. Le concessionnaire automobile de luxe GOLDEN CARS, implanté à Tunis, est spécialisé dans la vente de véhicules haut de gamme.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-dynamique-pour-golden-cars/,2019-08-19
"Site web","Site Web",https://rse-vision.com/wp-content/themes/rse/images/logo/rse_vison.png,www.rse-vision.com,"Site web vitrine",2017,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/RSE-vision-min.jpg,RSE-vision-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/RSE-vision-min.jpg,1443,RSE-vision-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/RSE-vision-min.jpg,966,"Création d'un site web pour : RSE Vision","<p class=""title_project""><strong>Création d'un site web vitrine</strong> pour RSE Vision</p>
RSE Vision est un cabinet d’audit et de conseil spécialisé en Responsabilité Sociétale des Entreprises et en Développement Durable. Nous accompagnons nos partenaires à créer de la valeur en s’appropriant efficacement les principes de la RSE.","Création d'un site web vitrine pour RSE Vision. RSE Vision est un cabinet d’audit et de conseil spécialisé en Responsabilité Sociétale des Entreprises et en Développement Durable.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-vitrine-pour-rse-vision/,2019-08-19
"Site web","Site Web",http://hypermedia.fr/wp-content/uploads/2016/10/habitat_logo3.png,www.habitat-tn.com,"Site web e-commerce",2015,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,display,http://hypermedia.com.tn/wp-content/uploads/2019/08/Habitat-min.jpg,Habitat-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/Habitat-min.jpg,1441,Habitat-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Habitat-min.jpg,967,"Création d'un site web pour : Habitat","<p class=""title_project""><strong>Création d'un site web e-commerce</strong> pour la société Habitat</p>
Fondée en 1994, la société Habitat est le pionnier tunisien dans le domaine des portes de sécurité. Elle réalise des produits toujours innovants du point de vue technologique. Elle conjugue sécurité et design dans une vaste gamme de portes et de menuiseries. Cela lui a permis de s’affirmer en tant que société la plus innovante du secteur du point de vue technologique.","Création d'un site web e-commerce pour la société Habitat. Elle est le pionnier tunisien dans le domaine des portes de sécurité. Elle réalise des produits toujours innovants du point de vue technologique.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-e-commerce-pour-habitat/,2019-08-19
"Site web","Site Web",,www.falehkhaless.com,"Site web dynamique",2019,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Faleh-Khaless-min.jpg,Faleh-Khaless-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/Faleh-Khaless-min.jpg,1439,Faleh-Khaless-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Faleh-Khaless-min.jpg,968,"Création d'un site web pour : Faleh Khaless","<p class=""title_project""><strong>Création d'un site web dynamique</strong> pour le musicien Faleh Khaless</p>
Faleh was born in Morocco in 1990, and grew up studying music in Tunisia, where he specialized in Arabic music interpretation to be best known for his success in playing ""Oud"".

","Création d'un site web dynamique pour le musicien Faleh Khaless. Faleh est spécialisé dans l'interprétation de la musique arabe et il est surtout connu pour son succès à jouer l'""Oud"".",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-dynamique-pour-faleh-khaless/,2019-08-19
"Site web","Site Web",https://epimoule.com/wp-content/themes/epi/assets/images/logo-epi.png,www.epimoule.com,"Site web vitrine",2018,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/epi-moule-min.jpg,epi-moule-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/epi-moule-min.jpg,1437,epi-moule-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/epi-moule-min.jpg,970,"Création d'un site web pour : EPI","<p class=""title_project""><strong>Création d'un site web vitrine</strong> pour la société EPI.</p><br>
Forte de plus de 25 ans d’expérience, l’entreprise du progrès industriel EPI est le leader en Tunisie à avoir gardé par excellence la triple compétence à savoir la conception, la fabrication de moules et l’injection plastique.","Création d'un site web dynamique pour la société EPI, leader en Tunisie à avoir gardé par excellence la triple compétence à savoir la conception, la fabrication de moules et l’injection plastique",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-vitrine-pour-epi/,2019-08-19
"Site web","Site Web",http://immobiliere-casabella.com/wp-content/uploads/2016/03/logo-casa.png,www.immobiliere-casabella.com/,"Site web dynamique",2016,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/immobiliere-casabella-1.jpg,immobiliere-casabella-1.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/immobiliere-casabella-1.jpg,1436,immobiliere-casabella-1,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/immobiliere-casabella-1.jpg,972,"Création d'un site web pour : Casabella","<strong>Création d'un site web dynamique</strong> pour la société immobilière Casabella.<br>
CasaBella est une société immobilière agréée par l’état, l’agence CasaBella, située dans la zone touristique de Sousse est bien implantée dans la région. Reconnue pour son sérieux, la sélection de ses offres et la fidélité de ses clients et grâce à sa parfaite connaissance du secteur, l’agence CasaBella vous conseille pour la location, l’achat, la vente de tout type de bien immobilier (résidentiel, commercial, terrain…).","Création d'un site web dynamique pour la société Casabella, société spécialisée dans le domaine de conseille pour la location, l’achat, la vente de tout type de bien immobilier",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-dynamique-pour-casabella/,2019-08-19
"Site web","Site Web",https://afem.com.tn/wp-content/uploads/2018/05/afem-fr-logo.png,www.afem.com.tn,"Site web vitrine",2018,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/afem-min.jpg,afem-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/afem-min.jpg,925,afem-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/afem-min.jpg,973,"Création d'un site web pour : AFEM","<strong>Création d'un site web dynamique</strong> pour la société Sotramet.<br>
AFEM est une société tunisienne dans le domaine de la fabrication des candélabres, des poteaux, des mâts et des portes drapeaux, adoptant une technologie de pointe au service de l’environnement et de la sécurité. Nous espérons enrichir notre gamme suivant les demandes de nos clients.","Création d'un site web dynamique pour la société AFEM, société spécialisée dans la fabrication des candélabres, des poteaux, des mâts et des portes drapeaux, adoptant une technologie de pointe au service de l’environnement et de la sécurité en Tunisie.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-dynamique-pour-afem/,2019-08-19
"Site web","Site Web",https://spaceofwisdom.tn/wp-content/themes/space/assets/images/accueil/logo-the-speace-of-wisdom1.png,www.spaceofwisdom.tn,"Site web vitrine",2017,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Space-of-wisdom-min.jpg,Space-of-wisdom-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/Space-of-wisdom-min.jpg,1433,Space-of-wisdom-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Space-of-wisdom-min.jpg,974,"Création d'un site web pour : Space Of Wisdom","<strong>Création d'un site web dynamique</strong> pourle centre de formation de Langues et de la Formation Professionnelle ""Space Of Wisdom"".<br>
«The Space of Wisdom » a été fondé en septembre 2006 par une équipe de spécialistes et d’universitaires en langues. Depuis, il s’est imposé comme l’un des principaux intervenants dans l’enseignement des langues étrangères sur le marché national de formation en Tunisie.","Création d'un site web dynamique pour Space Of Wisdom, l’un des principaux intervenants dans l’enseignement des langues étrangères sur le marché national de formation en Tunisie.",reference,http://hypermedia.com.tn/reference/space-of-wisdom/,2019-08-19
"Site web","Site Web",http://sotrim.tn/wp-content/themes/sotrim/assets/images/logo_sotrim.png,www.sotrim.tn,"Site web vitrine",2018,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/sotrim-min.jpg|http://hypermedia.com.tn/wp-content/uploads/2019/08/sotrim-min-1.jpg,sotrim-min.jpg|sotrim-min-1.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/sotrim-min.jpg|/home/hypermed/public_html/wp-content/uploads/2019/08/sotrim-min-1.jpg,921|1431,sotrim-min|sotrim-min,|,|,|,http://hypermedia.com.tn/wp-content/uploads/2019/08/sotrim-min.jpg,976,"Création d'un site web pour : SOTRIM","<strong>Création d'un site web dynamique</strong> pour la société SOTRIM.<br>
Sotrim est une société intervient dans la location de grue mobile, grue routière, des chariots élévateurs pour tous vos travaux de manutention en Tunisie.","Création d'un site web dynamique pour la société SOTRIM.<br>Sotrim est une société intervient dans la location de grue mobile, grue routière, des chariots élévateurs pour tous vos travaux de manutention en Tunisie.",reference,http://hypermedia.com.tn/reference/sotrim-sa/,2019-08-19
